pedido_id,pagamento_value,pagamento_forma,pagamento_parcelas,CustoFinanceiro,,,,,,,,,,,
26357,"9.000,00",Crédito,5,"R$ 0,00",,,,,,,,,,,
27095,"6.050,00",Pix,1,"R$ 0,00",,,,,,,,,,,
27097,"2.000,00",Crédito,3,"R$ 0,00",,,,,,,,,,,
27096,"10.000,00",Pix,1,"R$ 0,00",,,,,,,,,,,
27096,"28.180,00",Crédito,6,"R$ 0,00",,,,,,,,,,,
26359,"2.890,00",Entrega,3,"R$ 0,00",,,,,,,,,,,
26360,"2.000,00",Débito,1,"R$ 28,80",,,,,,,,,,,
26361,"6.300,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26361,"4.200,00",Pix,1,"R$ 0,00",,,,,,,,,,,
27098,"6.100,00",Pix,1,"R$ 0,00",,,,,,,,,,,
27099,"2.964,00",Crédito,4,"R$ 0,00",,,,,,,,,,,
26645,"13.300,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26645,"5.700,00",Entrega,1,"R$ 0,00",,,,,,,,,,,
26413,"11.600,00",Crédito,1,"R$ 0,00",,,,,,,,,,,
26362,"2.000,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26362,"1.990,00",Entrega,1,"R$ 0,00",,,,,,,,,,,
26363,"15.500,00",Transferência,1,"R$ 0,00",,,,,,,,,,,
26364,"500,00",Débito,1,"R$ 7,20",,,,,,,,,,,
27100,"2.100,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26414,"4.000,00",Crédito,4,"R$ 0,00",,,,,,,,,,,
26417,"10.000,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26417,"32.285,00",Crédito,4,"R$ 0,00",,,,,,,,,,,
26418,"19.200,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26370,"3.000,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26370,"3.560,00",Crédito,1,"R$ 0,00",,,,,,,,,,,
26368,"3.600,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26367,"1.900,00",Pix,1,"R$ 0,00",,,,,,,,,,,
